identificador,rango,titulo,fecha_publicacion,derogada,url
BOE-A-1998-13841,Orden,Orden de 10 de junio de 1998 por la que se crea el Comité Consultivo del Sector Pesquero.,19980612,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-13841
BOE-A-1998-13938,Real Decreto,"Real Decreto 1190/1998, de 12 de junio, por el que se regulan los programas nacionales de erradicación o control de organismos nocivos de los vegetales aún no establecidos en el territorio nacional.",19980613,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-13938
BOE-A-1998-14941,Acuerdo Internacional,"Instrumento de Ratificación del Convenio para la Protección del Medio Ambiente Marino del Atlántico del Nordeste, hecho en París, 22 de septiembre de 1992.",19980624,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-14941
BOE-A-1998-15391,Orden,Orden de 18 de junio de 1998 por la que se regulan los cursos de formación para conductores de vehículos que transporten mercancías peligrosas y los centros de formación que podrán impartirlos.,19980630,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-15391
BOE-A-1998-15584,Ley,"Ley 21/1998, de 1 de julio, por la que se crea el Consejo General de Colegios de Fisioterapeutas.",19980702,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-15584
BOE-A-1998-15582,Ley Orgánica,"Ley Orgánica 4/1998, de 1 de julio, para la Cooperación con el Tribunal internacional para Ruanda.",19980702,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-15582
BOE-A-1998-16132,Ley,"Ley 22/1998, de 6 de julio, reguladora de la Objeción de Conciencia y de la Prestación Social Sustitutoria.",19980707,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-16132
BOE-A-1998-16303,Ley,"Ley 23/1998, de 7 de julio, de Cooperación Internacional para el Desarrollo.",19980708,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-16303
BOE-A-1998-16696,Orden,Orden de 2 de julio de 1998 por la que se regula la Comisión Ministerial de Informática y de las Comunicaciones.,19980713,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-16696
BOE-A-1998-16718,Ley,"Ley 29/1998, de 13 de julio, reguladora de la Jurisdicción Contencioso-administrativa.",19980714,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-16718
BOE-A-1998-16713,Ley,"Ley 24/1998, de 13 de julio, del Servicio Postal Universal y de Liberalización de los Servicios Postales.",19980714,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-16713
BOE-A-1998-16714,Ley,"Ley 25/1998, de 13 de julio, de modificación del Régimen Legal de las Tasas Estatales y Locales y de Reordenación de las Prestaciones Patrimoniales de Carácter Público.",19980714,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-16714
BOE-A-1998-16716,Ley,"Ley 27/1998, de 13 de julio, sobre sanciones aplicables a las infracciones de las normas establecidas en el Reglamento (CE) número 2271/96, del Consejo, de 22 de noviembre, relativo a la protección frente a la aplicación extraterritorial de la legislación de un país tercero.",19980714,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-16716
BOE-A-1998-16717,Ley,"Ley 28/1998, de 13 de julio, de Venta a Plazos de Bienes Muebles.",19980714,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-16717
BOE-A-1998-17041,Real Decreto,"Real Decreto 1424/1998, de 3 de julio, por el que se constituye y organiza el Real Patronato de la Ciudad de Toledo.",19980717,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-17041
BOE-A-1998-17185,Orden,"Orden de 16 de julio de 1998 por la que se actualizan los costes de comercialización del sistema de determinación automática de precios máximos de venta, antes de impuestos, de los gases licuados del petróleo, y se liberalizan determinados suministros.",19980718,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-17185
BOE-A-1998-17578,Acuerdo Internacional,"Tratado de extradición entre el Reino de España y la República de Costa Rica, hecho en Madrid el 23 de octubre de 1997.",19980723,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-17578
BOE-A-1998-17580,Orden,Orden de 14 de julio de 1998 por la que se establece el régimen jurídico aplicable a los agentes externos para la realización de intercambios intracomunicarios e internacionales de energía eléctrica.,19980723,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-17580
BOE-A-1998-17972,Resolución,"Resolución-circular de 14 de julio de 1998, de la Dirección General de los Registros y del Notariado, sobre obligaciones formales y de información a los interesados en materia de derechos arancelarios de Notarios y Registradores de la Propiedad y Mercantiles.",19980728,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-17972
BOE-A-1998-18269,Ley,"Ley 30/1998, de 29 de julio, del Régimen Especial de las Illes Balears.",19980730,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-18269
BOE-A-1998-18272,Resolución,"Resolución de 28 de julio de 1998, de la Presidencia de la Agencia Estatal de Administración Tributaria, por la que se estructuran los Servicios de Aduanas e Impuestos Especiales, Dependientes de las Delegaciones Especiales y Delegaciones de la Agencia Estatal de Administración Tributaria.",19980730,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-18272
BOE-A-1998-18553,Orden,"Orden de 16 de julio de 1998 por la que se publican los modelos normalizados de impresos, sobres y papeletas de votación a utilizar en las elecciones a órganos de representación del personal al servicio de la Administración General del Estado.",19980731,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-18553
BOE-A-1998-18559,Real Decreto,"Real Decreto 1733/1998, de 31 de julio, sobre procedimientos de actuación de la Inspección de los Servicios del Ministerio de Economía y Hacienda.",19980801,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-18559
BOE-A-1998-19112,Real Decreto,"Real Decreto 1749/1998, de 31 de julio, por el que se establecen las medidas de control aplicables a determinadas sustancias y sus residuos en los animales vivos y sus productos.",19980807,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-19112
BOE-A-1998-19358,Real Decreto,"Real Decreto 1664/1998, de 24 de julio, por el que se aprueban los Planes Hidrológicos de cuenca.",19980811,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-19358
BOE-A-1998-19580,Real Decreto,"Real Decreto 1659/1998, de 24 de julio, por el que se desarrolla el artículo 8, apartado 5, de la Ley del Estatuto de los Trabajadores en materia de información al trabajador sobre los elementos esenciales del contrato de trabajo.",19980812,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-19580
BOE-A-1998-19859,Real Decreto-ley,"Real Decreto-ley 8/1998, de 31 de julio, de medidas urgentes en materia de propiedad industrial.",19980814,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-19859
BOE-A-1998-20604,Real Decreto,"Real Decreto 1753/1998, de 31 de julio, sobre acceso excepcional al título de Médico Especialista en Medicina Familiar y Comunitaria y sobre el ejercicio de la Medicina de Familia en el Sistema Nacional de Salud.",19980827,no,https://www.boe.es/buscar/act.php?id=BOE-A-1998-20604
